,comment_id,video_id,author,comment_text,published_at,like_count
1002,Ugwcr_Ocf9UB6sSzuaJ4AaABAg,JpaK8OhL4FI,@Rr9rr99,Ternyata jok motor lama jauh lebih baik,2025-10-22T00:37:09Z,0
1003,Ugw2s6fHXT2ZHNwVy6t4AaABAg,JpaK8OhL4FI,@irfanarieyanto,Keren2 bang,2025-10-21T14:07:44Z,0
1004,UgwAAq9PFh0imp1Ic3Z4AaABAg,JpaK8OhL4FI,@MamangLubuy,Bikin seperti d video habis berapa duit??,2025-10-21T12:38:46Z,0
1005,Ugx4AaT5vbRVPAuDrNZ4AaABAg,JpaK8OhL4FI,@ekosuryantoeko2543,Lokasi dimna bng,2025-10-21T07:51:16Z,0
1006,UgysjpyYHJGYlYnZBgh4AaABAg,JpaK8OhL4FI,@ekosuryantoeko2543,Bang bisa pesen gak bang,2025-10-21T07:51:09Z,0
1007,UgwUriaNkTp9dbx5XiJ4AaABAg,JpaK8OhL4FI,@aldibudi147,ada ga bang jok anti cakar kucing ga.. -_-,2025-10-21T03:21:56Z,0
1008,UgxM41kNqpP4QU20ijh4AaABAg,JpaK8OhL4FI,@benben-jp1ip,Kemas kerja nya,2025-10-21T02:03:23Z,0
1009,UgznzIDlULAFPldiYHp4AaABAg,JpaK8OhL4FI,@abdulfiraun3827,Brpa duit,2025-10-21T01:37:53Z,0
1010,Ugx3XDPo4fcFP8vTsfd4AaABAg,JpaK8OhL4FI,@vonmiller4-life610,Ku kira Roti gede rupanya Jok motor,2025-10-20T23:20:50Z,0
1011,Ugwlc7oS4HcosOD30A54AaABAg,JpaK8OhL4FI,@ahmadryzz2832,Kirim ke malaysia bole ngga bang😢,2025-10-20T20:35:42Z,0
1012,Ugy5KQNVN5T2GUtz5G14AaABAg,JpaK8OhL4FI,@yaudahterserahehe,Info harga?,2025-10-20T18:36:15Z,0
1013,Ugz4M0djXIElX0zduOx4AaABAg,JpaK8OhL4FI,@AmatGading,Gua kira kebab raksasa🗿🗿,2025-10-20T14:39:25Z,0
1014,UgxNHUwWpU9Kl3P2j6N4AaABAg,JpaK8OhL4FI,@kibilkibul5582,Brapa klo untuk beat fi bang,2025-10-20T13:29:22Z,0
1015,UgxDLwIsWTbXgtvUDQN4AaABAg,JpaK8OhL4FI,@lordvictor-x5f,Workshop nya mana bang?,2025-10-20T11:02:39Z,0
1016,UgzUeC24VMWfYejozY14AaABAg,JpaK8OhL4FI,@lordvictor-x5f,Workshop nya mana bang?,2025-10-20T11:02:36Z,0
1017,Ugxxy08Ypj3RwOjGEqV4AaABAg,JpaK8OhL4FI,@Indukadventure,Depannya kga gitu mulu.lancip Kga ada yg lebar,2025-10-20T10:29:55Z,0
1018,Ugw4niHHLewTpO77XSx4AaABAg,JpaK8OhL4FI,@firmanhdyt31-pc5dt,Buat motor tua sperti rxking bisa gk bang,2025-10-20T09:31:20Z,0
1019,UgwaL66NbsxMwO0YKrd4AaABAg,JpaK8OhL4FI,@harmuziapriandy4100,Bisa pesen dari lombok bang,2025-10-20T09:19:09Z,0
1020,UgwGWgfeZ5pULoHYvfJ4AaABAg,JpaK8OhL4FI,@dancalf_7506,Cek harga om,2025-10-19T14:21:05Z,0
1021,UgxP-wNDjmiWVBGmwIx4AaABAg,JpaK8OhL4FI,@aryanakem,"Kelas, kemas kerjanya.",2025-10-19T02:49:00Z,0
1022,UgxH_QCiWEQF5J5tM4l4AaABAg,JpaK8OhL4FI,@Artika202,Wiuw,2025-10-18T22:58:43Z,0
1023,UgzgkPbcuNiNVFHgAJh4AaABAg,JpaK8OhL4FI,@JokoSusanto-e9q,Lokasi dimana bang,2025-10-15T10:07:08Z,0
1024,UgwZIkDTFx0GtmpJ6WJ4AaABAg,JpaK8OhL4FI,@AdityaFebryanto,udah lama pakai lateks di jok nmax saia,2025-10-15T08:54:02Z,0
1025,UgxFS0Xy2yaitazcqZh4AaABAg,JpaK8OhL4FI,@dewanggawase9263,jok begini biasanya jadi incaran kucing,2025-10-15T08:45:02Z,0
1026,UgxaEbMO2f-EfRkSxIl4AaABAg,JpaK8OhL4FI,@FazriAwan-r6j,Pm auto jl pagelarang😊,2025-10-14T16:24:33Z,0
1027,UgyO649YsY3D-4sL85F4AaABAg,JpaK8OhL4FI,@DeniCahyadi-j6z,Assalamualaikum waromatulohi wabarokatu Salam sejahtera untuk kita semua mohon maaf ibu ibu bapak bapak kira kira berapa harga pasangan jok honda revo 110 itu kena tarif berapa duit ia model zaman now ia,2025-10-14T12:37:01Z,0
