Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@sitikomalasari9392,by 1 sini fanny,🟢 AMAN,12.7%,0.126505583327815,Weighted Average,0
@Hidayat-20072,Prek apaan,🟢 AMAN,10.9%,0.10869014363188459,Weighted Average,0
@Kipsmlbb,Baru tau betrix skylar ga expert,🟢 AMAN,14.2%,0.1417952653719621,Weighted Average,0
@Nishikawa-x2j,Aku udah suskreb semoga dapat wdp bang daffa,🟢 AMAN,30.7%,0.3065993854800876,Weighted Average,0
@DerikZa,Kok liyet dafaa ketawa gua ikut ketawa yaa,🟢 AMAN,18.1%,0.18124508981327905,Weighted Average,0
@cherahmahhamid7126,Wah baru tahu kau kalau bang daffa merokok,🟢 AMAN,13.1%,0.13143165621427516,Weighted Average,0
@GastenTaulanmi,LAMPUNG MANA BG DAFA,🟢 AMAN,11.4%,0.11368108798400477,Weighted Average,0
@adiamloe,Mama Ma Dolay mengingatkanku pada seseorang. 😂,🟢 AMAN,13.1%,0.1314704348523558,Weighted Average,0
@Tharzpemula,GG,🟢 AMAN,12.5%,0.12462003027206174,Weighted Average,0
@PujiHastuti-b7h,6:19,🟢 AMAN,11.9%,0.11870616561415849,Weighted Average,0
@hadilampung4311,lu org lampung bang ?,🟢 AMAN,14.0%,0.13994766174922563,Weighted Average,0
@wibunich,Bang gua tebak hp lu oppoA60,🟢 AMAN,18.3%,0.18268825481057782,Weighted Average,0
@Nassir7727,ما اعرف ايش تقول لاكن لعبك قوي😂,🟢 AMAN,14.0%,0.13999446485549533,Weighted Average,0
@SuaiyiAyyi,06.19,🟢 AMAN,21.2%,0.2124395430968752,Weighted Average,0
@viyanto-x1s,Aku,🟢 AMAN,10.5%,0.1049320058904178,Weighted Average,0
@wantsarizatmudiah837,Bejir bisa tembus,🟢 AMAN,16.9%,0.16934724721767114,Weighted Average,0
@Fanssorman123,Fans Skylar 👇,🟢 AMAN,13.1%,0.13123949989081535,Weighted Average,0
@ArenaBreakout-jm6ei,"Kalo begitu keliatan lu udah masuk proplayer ada bintangnya, cobak pakek akun lain ngepranknya",🟢 AMAN,23.4%,0.23432149125995613,Weighted Average,0
@ArenaBreakout-jm6ei,Kalo mau prank pake akun kecil lahh,🟢 AMAN,16.1%,0.16143523739872145,Weighted Average,0
@RickyYanendha,"konten lawak❌
Konten full editan✅",🟢 AMAN,14.7%,0.14724090255097602,Weighted Average,0
@IkmalinsaniIkmal,Bg yg tadi sore.abg yg main kan pegang pani kil.38..mati 4 kali,🟢 AMAN,20.4%,0.20412718614865819,Weighted Average,0
@hasan-6-9,Tembus 6:20,🟢 AMAN,14.0%,0.13996405569519801,Weighted Average,0
@andi_1M,bg daffa coba dong main di depan pilotnya pani bg dwiwoi,🟢 AMAN,30.8%,0.3082109754839424,Weighted Average,0
@Aditya-o4i,Orang lampung ternyata bng🗿,🟢 AMAN,7.2%,0.07170057078956153,Weighted Average,0
